               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.050944,            0.064266,                   0,             0.60827,              0.5653,              0.5601,              0.2167,            0.053338,            0.051924,                   0,          0.00062975,          0.00062975,          0.00062975
                  97,            0.051043,            0.061759,                   0,             0.61816,             0.54122,             0.54725,             0.21489,            0.053266,            0.052098,                   0,           0.0006248,           0.0006248,           0.0006248
                  98,            0.049929,            0.058319,                   0,             0.63282,             0.53996,             0.56068,             0.21954,            0.053051,            0.052568,                   0,          0.00061985,          0.00061985,          0.00061985
                  99,            0.049409,            0.058204,                   0,             0.61671,             0.55359,             0.55702,             0.21264,            0.053733,            0.052659,                   0,           0.0006149,           0.0006149,           0.0006149
                 100,            0.050123,            0.063142,                   0,             0.61388,             0.54288,             0.55292,             0.21008,            0.053942,            0.052462,                   0,          0.00060995,          0.00060995,          0.00060995
                 101,            0.049866,            0.059089,                   0,             0.61237,             0.55945,             0.55834,             0.21294,            0.053961,            0.052917,                   0,            0.000605,            0.000605,            0.000605
                 102,            0.048653,            0.056481,                   0,             0.61733,             0.55848,              0.5559,             0.21627,            0.053377,            0.052377,                   0,          0.00060005,          0.00060005,          0.00060005
                 103,            0.049016,            0.058983,                   0,             0.64377,             0.53547,             0.55991,             0.21523,            0.053482,            0.052324,                   0,           0.0005951,           0.0005951,           0.0005951
                 104,            0.049219,            0.064176,                   0,             0.63744,             0.53411,             0.56393,             0.22085,            0.053267,            0.052256,                   0,          0.00059015,          0.00059015,          0.00059015
                 105,            0.050242,            0.057207,                   0,             0.62189,             0.55068,             0.55136,             0.21646,            0.053382,            0.052231,                   0,           0.0005852,           0.0005852,           0.0005852
                 106,             0.04904,            0.061279,                   0,             0.64875,             0.55263,             0.56066,             0.21926,            0.053065,            0.052311,                   0,          0.00058025,          0.00058025,          0.00058025
